[30/06/2026 10:08:20,36] Backend: processo da porta 8000 encerrado via PID 37308.
[30/06/2026 10:08:21,23] Backend relacionado: taskkill /T executado para o PID 18396.
[30/06/2026 10:08:21,37] Backend relacionado: taskkill /T executado para o PID 44692.
[30/06/2026 10:08:22,08] Backend encerrado.
[30/06/2026 10:08:31,07] Script aberto.
[30/06/2026 10:08:33,74] Consulta de status via linha de comando.
[30/06/2026 10:31:02,91] Script iniciado. Acao=
[30/06/2026 10:31:10,98] Opcao invalida: 
[30/06/2026 10:31:15,52] python.exe nao encontrado: C:\Users\Administrador\AppData\Local\Programs\Python\Python312\python.exe
[30/06/2026 10:31:30,82] python.exe nao encontrado: C:\Users\Administrador\AppData\Local\Programs\Python\Python312\python.exe
[30/06/2026 10:42:57,14] Frontend ja estava parado.
[30/06/2026 10:42:57,29] Backend ja estava parado.
[30/06/2026 10:42:57,30] Iniciando backend.
[30/06/2026 10:43:13,62] Backend iniciado com PID 16040.
[30/06/2026 10:43:13,64] Iniciando frontend.
[30/06/2026 10:43:18,78] Frontend iniciado com PID 22884.
[30/06/2026 10:44:35,67] Backend: PID file obsoleto removido.
[30/06/2026 10:45:59,82] Encerramento solicitado.
[30/06/2026 10:46:03,86] Encerramento solicitado.
[30/06/2026 10:46:04,78] Frontend: PID 22884  encerrado.
[30/06/2026 10:46:07,47] Frontend: PID 22884  encerrado.
[30/06/2026 10:46:08,01] Frontend encerrado.
[30/06/2026 10:46:08,13] Frontend porta 3500: PID 22884 encerrado.
[30/06/2026 10:46:08,30] Frontend encerrado.
[30/06/2026 10:46:12,57] Backend porta 8000: PID 16040 encerrado.
[30/06/2026 10:46:12,57] Backend porta 8000: PID 16040 encerrado.
[30/06/2026 10:46:12,72] Backend encerrado.
[30/06/2026 10:46:12,73] Backend encerrado.
[30/06/2026 10:46:24,44] Frontend ja estava parado.
[30/06/2026 10:46:24,58] Backend ja estava parado.
[30/06/2026 10:46:24,59] Iniciando backend.
[30/06/2026 10:46:29,68] Backend iniciado com PID 33876.
